Symbol,Name,trading_name ,Sector,,,
8100,Saudi Arabian Cooperative Insurance Co.,SAICO,Financials,,,
8110,Saudi Indian Company for Cooperative Insurance,WAFA INSURANCE,Financials,,,
8120,Gulf Union Cooperative Insurance Co.,GULF UNION,Financials,,,
8130,Alahli Takaful Co.,ATC,Financials,,,
8140,Al-Ahlia Insurance Co.,ALAHLIA,Financials,,,
8150,Allied Cooperative Insurance Group,ACIG,Financials,,,
8160,Arabia Insurance Cooperative Co.,AICC,Financials,,,
8170,Al-Etihad Cooperative Insurance Co.,ALETIHAD,Financials,,,
8180,Al Sagr Cooperative Insurance Co.,ALSAGR INSURANCE,Financials,,,
8190,United Cooperative Assurance Co.,UCA,Financials,,,
8200,Saudi Re for Cooperative Reinsurance Co.,SAUDI RE,Financials,,,
8210,Bupa Arabia for Cooperative Insurance Co.,BUPA ARABIA,Financials,,,
8230,Al-Rajhi Company for Cooperative Insurance,ALRAJHI TAKAFUL,Financials,,,
8240,CHUBB Arabia Cooperative Insurance Co.,CHUBB,Financials,,,
8250,AXA Cooperative Insurance Co.,AXA COOPERATIVE,Financials,,,
8260,Gulf General Cooperative Insurance Co.,GULF GENERAL,Financials,,,
8270,Buruj Cooperative Insurance Co.,BURUJ,Financials,,,
8280,Al Alamiya for Cooperative Insurance Co.,ALALAMIYA,Financials,,,
8290,Solidarity Saudi Takaful Co.,SOLIDARITY,Financials,,,
8300,Wataniya Insurance Co.,WATANIYA,Financials,,,
8310,Amana Cooperative Insurance Co.,AMANA INSURANCE,Financials,,,
8311,Saudi Enaya Cooperative Insurance Co.,ENAYA,Financials,,,
8312,Alinma Tokio Marine Co.,ALINMA TOKIO M,Financials,,,
7200,Al Moammar Information Systems Co.,MIS,Information Technology,,,
7201,Arab Sea Information System Co.,ARAB SEA,Information Technology,,,
7010,Saudi Telecom Co.,STC,Communication Services,,,
7020,Etihad Etisalat Co.,ETIHAD ETISALAT,Communication Services,,,
7030,Mobile Telecommunication Company Saudi Arabia,ZAIN KSA,Communication Services,,,
7040,Etihad Atheeb Telecommunication Co.,ATHEEB TELECOM,Communication Services,,,
2080,National Gas and Industrialization Co.,GASCO,Utilities,,,
5110,Saudi Electricity Co.,SAUDI ELECTRICITY,Utilities,,,
4330,Riyad REIT Fund,RIYAD REIT,Real Estate,,,
4331,AlJazira Mawten REIT Fund,ALJAZIRA REIT,Real Estate,,,
4332,Jadwa REIT Al Haramain Fund,JADWA REIT ALHARAMAIN,Real Estate,,,
4333,Taleem REIT Fund,TALEEM REIT,Real Estate,,,
4334,AL Maather REIT Fund,AL MAATHER REIT,Real Estate,,,
4335,Musharaka REIT Fund,MUSHARAKA REIT,Real Estate,,,
4336,Mulkia Gulf Real Estate REIT,MULKIA REIT,Real Estate,,,
4337,Al Mashaar REIT,MASHAAR REIT,Real Estate,,,
4338,AlAhli REIT Fund 1,ALAHLI REIT 1,Real Estate,,,
4339,Derayah REIT Fund,DERAYAH REIT,Real Estate,,,
4340,Al Rajhi REIT Fund,Al RAJHI REIT,Real Estate,,,
4342,Jadwa REIT Saudi Fund,JADWA REIT SAUDI,Real Estate,,,
4344,SEDCO Capital REIT Fund,SEDCO CAPITAL REIT,Real Estate,,,
4345,Swicorp Wabel REIT Fund,SWICORP WABEL REIT,Real Estate,,,
4346,MEFIC REIT Fund,MEFIC REIT,Real Estate,,,
4347,Bonyan REIT Fund,BONYAN REIT,Real Estate,,,
4348,Alkhabeer REIT Fund,ALKHABEER REIT,Real Estate,,,
4020,Saudi Real Estate Co.,SRECO,Real Estate,,,
4090,Taiba Investments Co.,TAIBA,Real Estate,,,
4100,Makkah Construction and Development Co.,MCDC,Real Estate,,,
4150,Arriyadh Development Co.,ARDCO,Real Estate,,,
4220,Emaar The Economic City,EMAAR EC,Real Estate,,,
4230,Red Sea International Co.,RED SEA,Real Estate,,,
4250,Jabal Omar Development Co.,JABAL OMAR,Real Estate,,,
4300,Dar Alarkan Real Estate Development Co.,DAR ALARKAN,Real Estate,,,
4310,Knowledge Economic City,KEC,Real Estate,,,
4320,Alandalus Property Co.,ALANDALUS,Real Estate,,,
4321,Arabian Centres Co.,ALMRAKEZ,Real Estate,,,
,,,,,,
